event_date,event_timestamp,event_name,event_value_in_usd,user_id,user_pseudo_id,user_first_touch_timestamp,category,mobile_model_name,mobile_brand_name,operating_system,language,is_limited_ad_tracking,browser,browser_version,country,medium,name,traffic_source,platform,total_item_quantity,purchase_revenue_in_usd,refund_value_in_usd,shipping_value_in_usd,tax_value_in_usd,transaction_id,page_title,page_location,source,page_referrer,campaign
20210125,1611602148298917,view_item,,,2569739.8101031899,1573969998648275,desktop,Edge,Microsoft,Web,en-us,No,Edge,87.0,Canada,cpc,<Other>,google,WEB,,,,,,(not set),Womens | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google?,
20201206,1607264036710067,page_view,,,10618490.4802171210,1607250711626059,desktop,Edge,Microsoft,Web,,No,Edge,86.0,Malaysia,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201208,1607465845352113,session_start,,,15068969.4294022313,1607465845352113,desktop,Edge,Microsoft,Web,,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201110,1605005011557580,user_engagement,,,4199589.6327136491,1595446082966534,desktop,Edge,Microsoft,Windows,fr,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel,shop.googlemerchandisestore.com,,(referral)
20210125,1611601443475803,view_item,,,2569739.8101031899,1573969998648275,desktop,Edge,Microsoft,Web,en-us,No,Edge,87.0,Canada,cpc,<Other>,google,WEB,,,,,,(not set),Google Knit Blanket,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Knit+Blanket,,https://shop.googlemerchandisestore.com/Google+Redesign/New?,
20210129,1611962165192847,scroll,,,2200715.6626354229,1611962116241656,desktop,Edge,Microsoft,Web,en-us,No,Edge,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Google Tee Red,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Tee+Red,google,,(organic)
20201128,1606593545829153,page_view,,,79196528.5649458005,1606593394311934,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,Singapore,cpc,<Other>,google,WEB,,,,,,,Google Sherpa Zip Hoodie Charcoal,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Charcoal,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens?,(referral)
20201119,1605787656446188,user_engagement,,,5284418088.7325696525,1605787196644908,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Mural Food Container,https://shop.googlemerchandisestore.com/Google+RMG+Redesign/Lifestyle/Mural+Food+Container,,,
20201130,1606735802386286,page_view,,,11341074.5770059189,1606735110889754,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Australia,cpc,<Other>,google,WEB,,,,,,,Google Infant Hero Tee Olive,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Infant+Hero+Tee+Olive,,,
20201130,1606735257661471,page_view,,,11341074.5770059189,1606735110889754,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Australia,cpc,<Other>,google,WEB,,,,,,,Writing | Stationery | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Writing,,,
20210129,1611962121261630,page_view,,,2200715.6626354229,1611962116241656,desktop,Edge,Microsoft,Web,en-us,No,Edge,<Other>,United States,cpc,<Other>,google,WEB,,,,,,,Google Tee Blue,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Tee+Blue,,,
20201123,1606153864399295,view_promotion,,,3273094.5205009713,1606153856868337,desktop,Edge,Microsoft,Web,en-us,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,(not set),Home,https://shop.googlemerchandisestore.com/,,,
20201119,1605787950647948,page_view,,,5284418088.7325696525,1605787196644908,desktop,Edge,Microsoft,Windows,en-us,No,Edge,87.0,United States,cpc,<Other>,google,WEB,,,,,,,Android Pocket Toddler Tee White,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Pocket+Toddler+Tee+White,,,
20201111,1605085505486668,user_engagement,,,5823061.9157756741,1605085204149405,desktop,Edge,Microsoft,Web,en,No,Edge,87.0,India,cpc,<Other>,google,WEB,,,,,,,Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance,shop.googlemerchandisestore.com,https://shop.googlemerchandisestore.com/?,(referral)
20201111,1605085911294040,page_view,,,5823061.9157756741,1605085204149405,desktop,Edge,Microsoft,Web,en,No,Edge,87.0,India,cpc,<Other>,google,WEB,,,,,,,Google Clear Framed Yellow Shades,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Clear+Framed+Yellow+Shades,,https://shop.googlemerchandisestore.com/basket.html?,
20210127,1611774311409017,first_visit,,,24003264.2763316271,1611774311409017,desktop,Edge,Microsoft,Web,en-us,No,Edge,<Other>,Canada,cpc,<Other>,google,WEB,,,,,,,Home,https://shop.googlemerchandisestore.com/,,,
20201220,1608447596948894,user_engagement,,,72163611.2549283988,1608447595027876,desktop,Edge,Microsoft,Web,,No,Edge,87.0,Taiwan,cpc,<Other>,google,WEB,,,,,,,Google Dino Game Tee,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Dino+Game+Tee,google,,<Other>
